CASEID,cexabu,cexphys,cexsex,cex_070a,cex_070b,cex_070c,cex_080,mshsd,msper,msvic,agegr10,luc_rst,prv,region,sex
26102,3,1,2,2,2,1,1,711,994,711,1,1,"59",5,2
26103,3,2,1,2,2,1,1,994,994,994,7,1,"13",1,2
26104,1,1,1,6,6,6,1,994,994,994,5,1,"46",4,1
26105,1,1,1,6,6,6,1,994,994,994,5,1,"46",4,1
26106,2,2,2,2,2,1,1,994,994,994,5,1,"59",5,2
26107,3,2,1,2,2,1,1,711,994,711,3,1,"35",3,2
26108,8,8,8,6,6,6,8,995,995,995,4,2,"59",5,1
26109,1,1,1,6,6,6,1,994,994,994,4,1,"59",5,2
26110,3,2,1,2,2,1,2,994,994,994,3,1,"47",4,1
26111,3,2,1,2,2,1,1,994,994,994,6,2,"10",1,1
26112,1,1,1,6,6,6,1,994,994,994,4,1,"12",1,2
26113,1,1,1,6,6,6,1,994,994,994,7,1,"48",4,1
26114,3,2,1,2,2,1,1,405,609,405,2,1,"48",4,2
26115,1,1,1,6,6,6,1,994,994,994,6,3,"11",1,2
26116,1,1,1,6,6,6,1,994,994,994,4,1,"35",3,2
26117,1,1,1,6,6,6,1,994,994,994,4,1,"46",4,2
26118,1,1,1,6,6,6,1,994,994,994,4,2,"35",3,2
26119,1,1,1,6,6,6,1,994,994,994,3,1,"35",3,1
26120,1,1,1,6,6,6,1,994,994,994,4,1,"47",4,2
26121,3,2,1,2,2,1,1,994,994,994,6,1,"35",3,1
26122,3,2,1,2,2,1,1,405,304,304,4,1,"59",5,1
26123,8,8,8,6,6,6,8,994,994,994,7,1,"48",4,1
26124,1,1,1,6,6,6,1,994,994,994,3,1,"24",2,1
26125,3,2,1,2,2,1,1,994,994,994,6,1,"24",2,2
26126,1,1,1,6,6,6,1,994,994,994,6,1,"59",5,1
26127,3,2,1,2,2,1,5,813,994,813,6,1,"35",3,1
26128,1,1,1,6,6,6,1,994,994,994,5,1,"48",4,1
26129,3,2,1,2,2,1,1,994,994,994,6,2,"12",1,1
